1 2 3 4 5 6
289 1202 65 2033 2230 На_экране_ЛИМОН._Он_старый?
207 1205 1308 2037 2047 _Блестит_ли_ПЕРЕЦ?
174 1207 1306 2020 2014 _Сморщенный_ли_XXXXX?
295 1214 143 2215 2135 Перед_Вами_ГОНИК._Ровный_ли_он?
226 1209 1307 2066 2024 _С_веточкой_ли_РЕНАН?
293 1202 69 2207 2037 На_картинке_ЛИМОН._Сочный_ли_он?
294 1204 86 2174 2054 На_мониторе_XXXXX._Пышный_ли_он?
192 1203 1307 2056 2032 _Мягкий_ли_XXXXX?
292 1216 156 2148 2206 Это_XXXXX._Цельный_ли_он?
291 1212 123 2091 2173 Вот_XXXXX._Он_разрезанный?
293 1212 125 2185 2093 На_картинке_XXXXX._Колючий_ли_он?
217 1201 1309 2057 2159 _Целый_ли_ТОМАТ?
261 1213 1309 2117 2063 _Овальный_ли_КОДИС?
247 1211 1308 2016 2087 _Пустой_ли_XXXXX?
290 1214 138 2130 2223 Посмотрите,_вот_ГОНИК._Он_надрезан?
185 1203 1306 2023 2025 _С_молоком_ли_XXXXX?
289 1204 81 2049 2213 На_экране_XXXXX._Он_с_ботвой?
293 1206 33 2179 2005 На_картинке_БАНАН._Влажный_ли_он?
231 1209 1306 2071 2010 _Увядший_ли_РЕНАН?
275 1215 1310 2139 2025 _Бархатистый_ли_XXXXX?
242 1211 1310 2082 2040 _Надломан_ли_XXXXX?
296 1216 160 2202 2152 Вы_видите_XXXXX._Очищен_ли_он?
201 1205 1310 2041 2157 _Сырой_ли_ПЕРЕЦ?
171 1207 1308 2011 2022 _Скользкий_ли_XXXXX?
293 1208 53 2170 2021 На_картинке_XXXXX._Он_плоский?
296 1208 56 2202 2024 Вы_видите_XXXXX._Легкий_ли_он?
222 1201 1309 2062 2004 _Спелый_ли_ТОМАТ?
295 1210 111 2200 2079 Перед_Вами_БАРОХ._Он_высушенный?
289 1210 105 2073 2230 На_экране_БАРОХ._Он_имеет_мякоть?
290 1206 30 2223 2002 Посмотрите,_вот_БАНАН._Свежий_ли_он?
257 1213 1307 2113 2034 _Белый_ли_внутри_КОДИС?
245 1211 1310 2085 2022 _Выжатый_ли_XXXXX?
205 1205 1307 2045 2034 _Черный_ли_ПЕРЕЦ?
186 1203 1307 2026 2049 _Полый_ли_XXXXX?
175 1207 1306 2015 2167 _С_косточкой_ли_XXXXX?
292 1210 108 2076 2188 Это_БАРОХ._Он_с_кожурой?
294 1214 142 2134 2224 На_мониторе_ГОНИК._Желтый_ли_он?
263 1213 1306 2119 2021 _Лохматый_ли_КОДИС?
292 1202 68 2188 2036 Это_ЛИМОН._Кислый_ли_он?
291 1202 67 2035 2226 Вот_ЛИМОН._Он_с_цедрой?
293 1216 157 2149 2170 На_картинке_XXXXX._Он_шершавый?
295 1216 159 2178 2151 Перед_Вами_XXXXX._Он_рассыпчатый?
290 1208 50 2018 2193 Посмотрите,_вот_XXXXX._Он_в_стручке?
176 1207 1306 2016 2055 _Треугольный_ли_XXXXX?
273 1215 1310 2137 2017 _Красноватый_ли_XXXXX?
232 1209 1307 2072 2047 _Разноцветный_ли_РЕНАН?
292 1208 52 2020 2206 Это_XXXXX._Он_полосатый?
295 1204 87 2055 2187 Перед_Вами_XXXXX._Крепкий_ли_он?
294 1216 158 2150 2169 На_мониторе_XXXXX._Заострен_ли_он?
258 1213 1310 2114 2027 _Ребристый_ли_КОДИС?
202 1205 1309 2042 2160 _Слоеный_ли_ПЕРЕЦ?
230 1209 1309 2026 2070 _Склизкий_ли_РЕНАН?
260 1213 1308 2116 2029 _С_бугорками_ли_КОДИС?
296 1206 40 2008 2222 Вы_видите_БАНАН._Он_репчатый?
294 1206 34 2224 2006 На_мониторе_БАНАН._Он_съедобный?
293 1204 85 2053 2185 На_картинке_XXXXX._Он_соленый?
170 1207 1308 2017 2010 _Сахаристый_ли_XXXXX?
276 1215 1306 2140 2009 _Однотонный_ли_XXXXX?
262 1213 1309 2036 2118 _Жидкий_ли_КОДИС?
289 1208 49 2017 2221 На_экране_XXXXX._Рыхлый_ли_он?
295 1208 55 2023 2178 Перед_Вами_XXXXX._Зеленый_ли_он?
172 1207 1306 2012 2164 _Ломкий_ли_XXXXX?
274 1215 1308 2138 2020 _Изогнут_ли_XXXXX?
190 1203 1306 2018 2030 _Плотный_ли_XXXXX?
206 1205 1308 2153 2046 _Хрустящий_ли_ПЕРЕЦ?
248 1211 1308 2019 2088 _Белый_ли_XXXXX?
289 1212 121 2213 2089 На_экране_XXXXX._Испачкан_ли_он?
277 1215 1309 2141 2030 _Прозрачный_ли_XXXXX?
292 1206 32 2210 2004 Это_БАНАН._Сладкий_ли_он?
189 1203 1307 2054 2029 _Вареный_ли_XXXXX?
295 1212 127 2187 2095 Перед_Вами_XXXXX._Он_зернистый?
294 1202 70 2218 2038 На_мониторе_ЛИМОН._Упругий_ли_он?
229 1209 1308 2064 2069 _Квадратный_ли_РЕНАН?
221 1201 1310 2154 2061 _Острый_ли_ТОМАТ?
295 1202 71 2039 2200 Перед_Вами_ЛИМОН._Он_длинный?
264 1213 1308 2120 2045 _Золотистый_ли_КОДИС?
218 1201 1309 2001 2058 _Мясистый_ли_ТОМАТ?
294 1210 110 2078 2218 На_мониторе_БАРОХ._Он_с_дольками?
292 1204 84 2171 2052 Это_XXXXX._Жирный_ли_он?
295 1206 35 2215 2007 Перед_Вами_БАНАН._Сиреневый_ли_он?
188 1203 1307 2028 2166 _Пористый_ли_XXXXX?
290 1204 82 2204 2050 Посмотрите,_вот_XXXXX._Он_алый?
173 1207 1307 2162 2013 _Мохнатый_ли_XXXXX?
296 1204 88 2056 2197 Вы_видите_XXXXX._Он_круглый?
244 1211 1308 2084 2001 _Бурый_ли_XXXXX?
169 1207 1306 2051 2009 _Коричневый_ли_XXXXX?
289 1214 137 2229 2129 На_экране_ГОНИК._Он_шарообразный?
224 1201 1307 2039 2064 _Вязкий_ли_ТОМАТ?
278 1215 1310 2035 2142 _Измельчен_ли_XXXXX?
220 1201 1309 2156 2060 _Яркий_ли_ТОМАТ?
291 1208 51 2019 2216 Вот_XXXXX._Ядовитый_ли_он?
203 1205 1308 2043 2008 _Гнилой_ли_ПЕРЕЦ?
280 1215 1307 2144 2052 _Скручен_ли_XXXXX?
204 1205 1307 2044 2005 _Бугристый_ли_ПЕРЕЦ?
219 1201 1306 2006 2059 _Горький_ли_ТОМАТ?
191 1203 1307 2052 2031 _Ворсистый_ли_XXXXX?
291 1204 83 2051 2173 Вот_XXXXX._Пряный_ли_он?
246 1211 1306 2058 2086 _Объемный_ли_XXXXX?
228 1209 1308 2068 2002 _Пушистый_ли_РЕНАН?
290 1212 122 2090 2204 Посмотрите,_вот_XXXXX._Он_фаршированный?
241 1211 1306 2051 2081 _Вытянут_ли_XXXXX?
289 1206 29 2229 2001 На_экране_БАНАН._Он_чистый?
279 1215 1307 2143 2028 _Цветущий_ли_XXXXX?
296 1210 112 2198 2080 Вы_видите_БАРОХ._Мятый_ли_он?
296 1214 144 2222 2136 Вы_видите_ГОНИК._Он_имеет_шипы?
290 1202 66 2034 2209 Посмотрите,_вот_ЛИМОН._Фиолетовый_ли_он?
292 1214 140 2210 2132 Это_ГОНИК._Сорван_ли_он?
208 1205 1307 2048 2003 _Цитрусовый_ли_ПЕРЕЦ?
289 1216 153 2145 2221 На_экране_XXXXX._Он_с_чешуйками?
291 1206 31 2219 2003 Вот_БАНАН._Он_жаренный?
291 1216 155 2147 2216 Вот_XXXXX._Тонкий_ли_он?
259 1213 1310 2039 2115 _Голубой_ли_КОДИС?
225 1209 1306 2005 2065 _Сушеный_ли_РЕНАН?
293 1210 109 2207 2077 На_картинке_БАРОХ._Синий_ли_он?
294 1208 54 2022 2169 На_мониторе_XXXXX._Он_толченый?
293 1214 141 2179 2133 На_картинке_ГОНИК._Спрессован_ли_он?
223 1201 1307 2063 2159 _Серый_ли_ТОМАТ?
243 1211 1310 2015 2083 _Волнистый_ли_XXXXX?
296 1212 128 2096 2197 Вы_видите_XXXXX._Округлый_ли_он?
